4 Jan 1999 - 27 July 2018,EUR/USD,GBP/USD,AUD/USD,USD/CAD,USD/CHF,SP500,DGS10
1/4/00,1.0309,1.637,0.6562,1.4518,1.5565,1399.420044,6.49
1/5/00,1.0335,1.6415,0.655,1.4518,1.5526,1402.109985,6.62
1/6/00,1.0324,1.6475,0.654,1.4571,1.554,1403.449951,6.57
1/7/00,1.0294,1.6384,0.6548,1.4505,1.5623,1441.469971,6.52
1/10/00,1.0252,1.6374,0.6561,1.4568,1.5704,1457.599976,6.57
1/11/00,1.0322,1.648,0.6575,1.457,1.5605,1438.560059,6.67
1/12/00,1.0281,1.6465,0.6578,1.455,1.566,1432.25,6.72
1/13/00,1.027,1.6482,0.6687,1.4495,1.5707,1449.680054,6.63
1/14/00,1.0128,1.6353,0.6665,1.4497,1.5945,1465.150024,6.69
1/18/00,1.0121,1.638,0.664,1.4502,1.5942,1455.140015,6.75
1/19/00,1.0115,1.6438,0.6634,1.4527,1.5965,1455.900024,6.73
1/20/00,1.0133,1.6538,0.6666,1.4484,1.5915,1445.569946,6.79
1/21/00,1.01,1.6504,0.6621,1.442,1.5973,1441.359985,6.79
1/24/00,1.0019,1.652,0.6544,1.44,1.609,1401.530029,6.69
1/25/00,1.0041,1.6482,0.6542,1.4389,1.6085,1410.030029,6.7
1/26/00,1.0011,1.6395,0.6505,1.4379,1.6102,1404.089966,6.69
1/27/00,0.989,1.6363,0.655,1.435,1.6317,1398.560059,6.68
1/28/00,0.9765,1.621,0.6265,1.4495,1.6485,1360.160034,6.66
1/31/00,0.9757,1.6182,0.6382,1.4517,1.6495,1394.459961,6.68
2/1/00,0.9731,1.615,0.6315,1.4468,1.654,1409.280029,6.62
2/2/00,0.9768,1.606,0.636,1.4435,1.6502,1409.119995,6.6
2/3/00,0.9887,1.6025,0.6387,1.4417,1.6255,1424.969971,6.49
2/4/00,0.976,1.5915,0.6315,1.4467,1.647,1424.369995,6.53
2/7/00,0.9783,1.5917,0.6339,1.4457,1.6426,1424.23999,6.64
2/8/00,0.9862,1.6105,0.6353,1.4473,1.6301,1441.719971,6.59
2/9/00,0.9914,1.6115,0.6345,1.4443,1.6232,1411.709961,6.56
2/10/00,0.9865,1.6057,0.632,1.45,1.628,1416.829956,6.67
2/11/00,0.9847,1.5923,0.6282,1.4515,1.6305,1387.119995,6.63
2/14/00,0.9783,1.589,0.6279,1.4547,1.6435,1389.939941,6.56
2/15/00,0.9834,1.595,0.63,1.4585,1.633,1402.050049,6.56
2/16/00,0.9842,1.604,0.6301,1.452,1.6302,1387.670044,6.56
2/17/00,0.9863,1.605,0.632,1.4522,1.6274,1388.26001,6.58
2/18/00,0.985,1.5984,0.6292,1.4512,1.6282,1346.089966,6.49
2/22/00,1.006,1.6165,0.6257,1.4595,1.5983,1352.170044,6.36
2/23/00,1.0017,1.6047,0.6196,1.4651,1.6082,1360.689941,6.44
2/24/00,0.9931,1.5981,0.6144,1.4587,1.62,1353.430054,6.36
2/25/00,0.9763,1.5908,0.6175,1.4505,1.6475,1333.359985,6.36
2/28/00,0.9669,1.5935,0.6116,1.4538,1.6615,1348.050049,6.37
2/29/00,0.9643,1.578,0.6155,1.4505,1.6665,1366.420044,6.42
3/1/00,0.97,1.5849,0.6067,1.447,1.6568,1379.189941,6.39
3/2/00,0.9619,1.5765,0.6077,1.4543,1.6714,1381.76001,6.4
3/3/00,0.9618,1.581,0.6082,1.451,1.6712,1409.170044,6.39
3/6/00,0.9603,1.5732,0.6016,1.4555,1.675,1391.280029,6.42
3/7/00,0.956,1.5772,0.6035,1.4527,1.681,1355.619995,6.39
3/8/00,0.9576,1.5855,0.6094,1.4592,1.677,1366.699951,6.38
3/9/00,0.9684,1.5815,0.6155,1.457,1.6595,1401.689941,6.35
3/10/00,0.9659,1.5793,0.6136,1.4575,1.6661,1395.069946,6.39
3/13/00,0.9648,1.5782,0.6165,1.4614,1.6702,1383.619995,6.36
3/14/00,0.9644,1.5725,0.614,1.4632,1.6715,1359.150024,6.31
3/15/00,0.9696,1.573,0.6125,1.468,1.6618,1392.140015,6.29
3/16/00,0.971,1.5747,0.6107,1.4724,1.6593,1458.469971,6.26
3/17/00,0.9694,1.5705,0.6067,1.4728,1.662,1464.469971,6.2
3/20/00,0.971,1.5686,0.6065,1.4703,1.6605,1456.630005,6.18
3/21/00,0.9703,1.5725,0.61,1.4662,1.6615,1493.869995,6.13
3/22/00,0.9608,1.5705,0.6056,1.472,1.675,1500.640015,6.13
3/23/00,0.9691,1.583,0.6041,1.4727,1.6522,1527.349976,6.08
3/24/00,0.9724,1.591,0.6064,1.465,1.6333,1527.459961,6.2
3/27/00,0.9645,1.5855,0.6114,1.4605,1.6468,1523.859985,6.21
3/28/00,0.9614,1.5872,0.6141,1.4541,1.6551,1507.72998,6.17
3/29/00,0.9524,1.587,0.6124,1.4555,1.6725,1508.52002,6.18
3/30/00,0.9594,1.5922,0.6125,1.4557,1.6605,1487.920044,6.06
3/31/00,0.9574,1.5922,0.6062,1.4538,1.663,1498.579956,6.03
4/3/00,0.956,1.598,0.6073,1.4548,1.6587,1505.969971,6
4/4/00,0.9588,1.5965,0.6032,1.4531,1.65,1494.72998,5.9
4/5/00,0.9647,1.59,0.6053,1.4548,1.633,1487.369995,5.9
4/6/00,0.958,1.58,0.6016,1.4515,1.639,1501.339966,5.93
4/7/00,0.959,1.583,0.6003,1.4574,1.6383,1516.349976,5.86
4/10/00,0.9588,1.5828,0.5991,1.4615,1.6435,1504.459961,5.8
4/11/00,0.9591,1.5873,0.5957,1.4635,1.6415,1500.589966,5.89
4/12/00,0.9551,1.5882,0.597,1.4623,1.649,1467.170044,5.97
4/13/00,0.9524,1.5881,0.5963,1.4661,1.652,1440.51001,5.94
4/14/00,0.9564,1.586,0.5972,1.4767,1.6408,1356.560059,5.85
4/17/00,0.955,1.5853,0.5913,1.4855,1.644,1401.439941,6.01
4/18/00,0.9477,1.5764,0.5946,1.4837,1.6603,1441.609985,6.05
4/19/00,0.9369,1.5777,0.5957,1.4761,1.6755,1427.469971,5.99
4/20/00,0.9376,1.5801,0.5931,1.4725,1.6772,1434.540039,5.99
4/24/00,0.9396,1.58,0.5945,1.4763,1.6712,1429.859985,6
4/25/00,0.9265,1.5787,0.5956,1.4699,1.6985,1477.439941,6.14
4/26/00,0.9217,1.5795,0.589,1.4758,1.7085,1460.98999,6.14
